date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2018-05-31,12527.0996,0.0,0.0,8.1722,8.3231,60.3526,5.0,65.0,60.0,12890.5958,12407.2742,12648.935,0.0,-77.2444,-7.1219,12648.4723,7.1219,12635.2427,19.6562,252.753,-161.2638,-10.9403,-0.885,-0.955,12644.035,0.0,12687.04,-24.2071,27.1174,2.9103,79.6701,60.3526,-19.3175,12451.6453,11077.1888,0.0,12598.25,12598.25,53.5609,794.1641,109.0,0.5918,0.0,46.4391,688.5657,0.4783,0.8778,1.0088,46.4391,12442.7002,12648.935,17.2308,31.3842,33.2281,31.3842,39.9543,33.5687,12638.6918,12635.7358,98.8008,12701.6673,0.0217,34.1455,-67.2905,12663.6858
2018-06-01,12620.7998,0.0,0.0,7.7856,8.0445,49.4116,0.0,60.0,60.0,12872.2114,12448.4886,12660.35,0.0,-28.4754,-0.4405,12644.5923,0.4405,12633.8672,19.6602,268.9367,-158.8286,-63.876,-0.7201,-0.9998,12651.2015,0.0,12685.1972,-20.3608,22.0272,1.6664,81.36,49.4116,-31.9484,12453.3369,11084.0695,0.0,12623.3501,12623.3501,50.2203,754.4559,228.2998,0.5952,0.0,49.7797,747.8376,0.3914,1.8422,1.0184,49.7797,12460.7652,12660.35,37.9882,62.2721,92.6636,62.2721,100.0,66.902,12645.4348,12630.8029,93.7002,12704.4627,0.0205,42.0175,-50.7059,12661.0062
2018-06-04,12673.9004,0.0,0.0,7.5544,7.8019,40.0867,80.0,55.0,-25.0,12866.9013,12471.8587,12669.38,0.0,3.6258,3.1625,12650.8331,3.1625,12637.6798,19.9879,286.4337,-199.8457,-117.3333,-0.4782,-0.9591,12659.9925,0.0,12684.9484,-13.6947,18.6036,4.9088,79.3063,40.0867,-39.2196,12455.5425,11090.9269,0.0,12623.3501,12623.3501,48.4188,716.7331,180.6006,0.584,0.0,51.5812,763.5463,0.3175,1.4456,1.0145,51.5812,12477.9269,12669.38,56.3178,75.2972,100.0,75.2972,100.0,79.9848,12650.8987,12640.5539,53.1006,12703.6328,0.0196,46.5813,-36.0088,12662.2968
2018-06-05,12658.7002,0.0,0.0,7.2797,7.5432,30.1732,75.0,50.0,-25.0,12861.7157,12490.9344,12676.325,0.0,-15.6619,2.0593,12653.3937,2.0593,12639.6818,20.5122,293.9116,-52.4351,-219.5051,-0.3598,-0.9142,12665.3261,0.0,12684.5076,-9.9383,16.119,6.1807,74.2114,30.1732,-44.0382,12457.5741,11097.7601,0.0,12623.3501,12623.3501,48.9703,696.0966,138.9004,0.5615,0.0,51.0297,725.369,0.2389,1.1094,1.0111,51.0297,12494.2306,12676.325,77.2241,94.1031,89.6457,94.1031,89.2735,96.4245,12655.3282,12644.5988,15.2002,12699.4446,0.0188,48.3605,-40.2159,12661.2796
2018-06-06,12778.2002,0.0,0.0,7.4168,7.5324,25.1322,70.0,45.0,-25.0,12865.0226,12513.4275,12689.225,0.0,85.0664,10.0217,12677.2158,10.0217,12652.874,21.0876,-44.0068,239.6276,-160.3446,0.0173,-0.6947,12673.0429,0.0,12687.3819,0.4164,16.2231,16.6395,66.6468,25.1322,-41.5146,12460.7804,11104.5752,0.0,12623.3501,12623.3501,44.9891,661.2918,258.0,0.5752,0.0,55.0109,808.6005,0.1988,2.0607,1.0206,55.0109,12509.7191,12689.225,88.6496,96.5486,100.0,96.5486,100.0,96.4245,12659.3697,12678.8761,119.5,12692.7774,0.0189,56.6874,-7.1408,12670.982
2018-06-07,12788.5,0.0,0.0,7.58,7.6957,12.4751,65.0,40.0,-25.0,12875.8796,12518.1705,12697.025,0.0,87.6828,10.6806,12699.5009,10.6806,12665.7908,21.4897,-14.6767,237.181,-57.2022,0.5049,-0.2534,12682.6461,0.0,12689.2701,7.3941,18.0716,25.4657,55.8873,12.4751,-43.4121,12464.0576,11111.3726,0.0,12623.3501,12623.3501,44.6597,628.2272,156.0,0.55,0.0,55.3403,778.4703,0.0986,1.2349,1.0123,55.3403,12524.4331,12697.025,95.7334,96.5486,100.0,96.5486,100.0,96.4245,12663.4915,12709.4792,10.2998,12684.2792,0.0198,68.5679,-4.2901,12680.4368
2018-06-08,12832.0996,0.0,0.0,7.8761,7.9675,2.002,60.0,100.0,40.0,12889.9274,12514.1727,12702.05,0.0,117.8467,13.5026,12726.4598,13.5026,12681.6297,21.3853,18.7581,302.2275,-13.9287,0.8969,0.3216,12692.691,0.0,12691.0958,13.9976,21.571,35.5687,43.7854,2.002,-41.7834,12467.738,11118.1545,0.0,12637.3999,12637.3999,43.2487,596.8158,100.5,0.5377,0.0,56.7513,783.1464,0.0158,0.7894,1.0079,56.7513,12538.4114,12702.05,97.699,100.0,100.0,100.0,100.0,100.0,12668.1462,12745.5487,43.5996,12676.0038,0.0215,66.4304,-0.0,12693.301
2018-06-11,12857.0,0.0,0.0,8.238,8.2818,-6.3967,55.0,100.0,45.0,12905.0401,12508.58,12706.8101,0.0,129.0309,15.1149,12754.0035,15.1149,12698.3316,20.9481,48.0818,235.1038,116.9568,0.9986,0.7441,12701.7167,0.0,12693.1286,18.7953,26.2698,45.0651,32.7224,-6.3967,-39.1191,12471.6306,11124.9219,0.0,12649.8501,12649.8501,42.4426,566.975,95.2002,0.5195,0.0,57.5574,768.8895,-0.0504,0.746,1.0075,57.5574,12556.0327,12706.8101,98.8495,100.0,100.0,100.0,100.0,100.0,12673.6811,12781.0836,24.9004,12670.0647,0.0239,78.4345,-0.0,12708.0582
2018-06-12,12844.7002,0.0,0.0,8.5266,8.4159,-7.5788,50.0,95.0,45.0,12915.8595,12505.0306,12710.4451,0.0,110.675,14.0099,12775.2535,14.0099,12712.2715,20.4899,76.7346,85.142,120.6465,0.8505,0.9733,12707.0933,0.0,12694.6359,19.7926,31.218,51.0106,22.8509,-7.5788,-30.4297,12475.3613,11131.6741,0.0,12649.8501,12649.8501,42.995,550.9261,72.7002,0.4988,0.0,57.005,730.445,-0.0597,0.5692,1.0057,57.005,12577.1004,12710.4451,98.2657,94.797,84.3911,94.797,78.3046,92.7682,12680.2145,12806.3685,12.2998,12668.9338,0.0266,75.924,-2.9688,12721.1906
2018-06-13,12785.5,0.0,0.0,8.5364,8.4772,-5.2481,45.0,90.0,45.0,12922.4552,12506.525,12714.4901,0.0,56.6796,8.7225,12782.5393,8.7225,12719.2456,20.0392,96.1246,97.2295,155.7565,0.6276,0.9943,12711.161,0.0,12695.6177,15.3175,35.0474,50.3649,15.5619,-5.2481,-20.81,12478.4627,11138.408,0.0,12649.8501,12649.8501,45.6388,582.58,80.9004,0.4992,0.0,54.3612,693.9227,-0.0413,0.6368,1.0064,54.3612,12596.6934,12714.4901,85.4202,61.4637,0.0,61.4637,0.0,59.4349,12687.5282,12810.973,59.2002,12672.2474,0.0291,63.4495,-17.258,12728.3386
