date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2009-04-23,14.8818,869118712.3722,17089302.6887,17.9739,21.2522,1.0888,15.0,95.0,80.0,13.2634,16.4575,19.6516,0.3211,100.0022,10.7913,18.0177,20.0438,16.6652,19.4602,176.6471,1.0278,-1.1108,-0.6645,0.0585,16.3533,1.0,15.0254,0.8861,1.0262,0.1401,0.9181,1.0888,0.1707,22.0047,29.8175,66.997,16.525,16.61,15.5996,5.4762,2.34,9.5548,495291200.0,23.4208,8.2217,6.7458,14.5976,1.146,55.3957,15.25,16.4575,74.1066,61.8831,71.5596,74.1066,60.8878,65.8799,15.6657,18.6492,1.08,16.3233,0.5228,60.2939,-20.6667,17.0843
2009-04-24,15.3678,893819542.3722,21492234.6481,18.2282,21.1104,1.3472,10.0,90.0,80.0,13.1961,16.573,19.9499,0.5333,110.2797,13.1397,18.307,23.0592,16.8847,19.1627,186.5139,0.8675,-1.6666,-0.7828,-0.1134,16.4828,1.0,15.0876,0.9251,1.081,0.1559,0.944,1.3472,0.4033,21.9744,29.7783,67.322,16.525,16.61,15.0578,5.2024,2.31,9.1063,540201800.0,24.0835,8.3207,8.2847,13.8655,1.1387,56.5699,15.2936,16.573,70.6422,65.0007,85.3211,70.6422,80.7702,61.0764,15.9115,18.9415,1.2,16.5791,0.5682,58.5371,-10.6667,17.3236
2009-04-27,14.6954,879936331.8459,16922209.4051,18.4316,20.6285,1.513,5.0,85.0,80.0,13.2836,16.698,20.1124,-0.4737,79.4785,8.9629,18.3992,22.2976,17.0042,18.8015,194.1104,-0.2246,-1.1524,-0.8582,-0.2438,16.6523,1.0,15.1402,0.9491,1.0453,0.0962,1.0223,1.513,0.4907,21.936,29.7391,67.8368,16.525,16.61,14.8448,5.0222,2.5,9.3252,513823700.0,23.3645,7.9046,9.2194,15.9847,1.1598,54.4814,15.3368,16.698,74.3884,73.0457,66.2844,74.3884,12.8096,51.4892,16.1558,18.9487,1.01,16.8272,0.6065,55.6295,-24.5,17.4728
2009-04-28,14.3228,862198831.8459,7870520.9507,18.4886,20.1026,1.3525,0.0,80.0,80.0,13.7314,16.893,20.0546,-0.1818,57.0879,6.6656,18.389,19.5714,17.0686,18.8431,200.7634,0.0317,1.0809,-0.9119,-0.3545,16.8298,1.0,15.2183,0.9531,0.9688,0.0158,1.0949,1.3525,0.2576,21.8935,29.6999,69.1386,16.815,16.765,15.3997,5.0511,3.9,9.2761,496086200.0,22.8944,7.5094,8.1599,28.3019,1.283,53.3328,15.3795,16.893,52.6387,65.8898,6.3107,52.6387,0.0,31.1932,16.394,18.8186,0.66,17.064,0.6351,51.8202,-33.9192,17.5663
2009-04-29,15.222,883299669.2372,10165958.3937,18.7383,19.768,1.3098,30.0,75.0,45.0,14.0201,17.102,20.1839,0.8,82.9986,11.4098,18.5755,23.483,17.2325,19.1901,205.6758,0.7899,0.0317,-0.9437,-0.4333,17.0234,1.0,15.3364,0.9597,0.9864,0.0266,1.1515,1.3098,0.1583,21.8624,29.6607,69.3475,16.815,16.765,14.7966,4.7986,4.18,8.6296,525322300.0,23.8788,7.7439,7.8513,28.6105,1.2861,55.7049,15.4218,17.102,47.9715,58.3329,71.3193,47.9715,73.2793,28.6963,16.6268,18.9846,1.27,17.2838,0.6616,61.4323,-14.4112,17.747
2009-04-30,14.7602,859799662.0943,2703547.9483,19.1356,19.6495,1.3247,25.0,70.0,45.0,14.3217,17.2675,20.2133,-0.5786,81.2234,8.4306,18.6267,26.6827,17.3266,19.4655,211.7176,0.1384,0.0618,-0.9732,-0.5257,17.1955,1.0,15.4067,0.9565,0.9434,-0.0131,1.1993,1.3247,0.1254,21.826,29.6215,69.6509,16.815,16.765,14.1535,4.5586,3.31,8.8388,495413200.0,24.4553,7.8767,7.8821,22.1999,1.222,54.2153,15.4637,17.2675,35.9325,45.5142,30.1676,35.9325,27.2621,33.5138,16.8519,18.9581,1.4,17.4753,0.6818,44.9709,-24.4288,17.8535
2009-05-01,14.5496,854671310.2871,-2226781.7133,19.2954,19.4448,1.2563,20.0,65.0,45.0,14.5321,17.3865,20.2409,-0.2651,45.0826,7.0561,18.6178,22.3334,17.3869,19.7333,214.8188,0.8729,0.2904,-0.9843,-0.571,17.3063,1.0,15.4511,0.9408,0.8783,-0.0626,1.2393,1.2563,0.0171,21.7873,29.5823,65.9572,16.815,16.765,15.1161,4.7507,2.38,8.7495,475144000.0,23.8095,7.4829,7.4423,15.276,1.1528,53.528,15.5051,17.3865,39.5066,41.1369,17.033,39.5066,8.2295,36.257,17.0665,18.855,0.83,17.6323,0.6946,48.9233,-28.9982,17.9194
2009-05-04,16.4736,893217536.3509,8223408.2375,19.9856,19.4545,1.3046,15.0,100.0,85.0,14.5561,17.6048,20.6534,0.9016,139.6624,17.1543,19.0354,33.0981,17.6677,20.0332,218.896,0.3955,-1.6276,-0.9943,-0.6279,17.4509,1.0,15.6046,0.954,1.0067,0.0527,1.2748,1.3046,0.0298,21.7728,29.5433,67.0683,17.3475,17.135,13.9957,4.5132,4.365,7.9289,514315300.0,27.8438,8.9787,7.6639,27.3325,1.2733,58.5771,15.5462,17.6048,48.8817,41.4403,99.4444,48.8817,100.0,45.1639,17.2773,19.3738,2.39,17.8018,0.7146,58.4585,-0.2333,18.2002
2009-05-05,16.2994,909254225.4266,16853486.2653,20.6412,19.4006,1.2589,10.0,100.0,90.0,14.8151,17.8488,20.8824,0.2185,146.402,15.9538,19.35,33.0981,17.9012,20.3053,218.7481,-0.4064,-0.5357,-0.9941,-0.6259,17.6339,1.0,15.7736,0.9789,1.0787,0.0997,1.3062,1.2589,-0.0473,21.7563,29.5043,70.2755,17.3475,17.135,13.4724,4.2875,4.88,7.9087,488173300.0,26.8027,8.5298,7.3216,32.021,1.3202,57.9769,15.6423,17.8488,69.3196,52.5693,91.4815,69.3196,88.1118,65.4471,17.4876,19.7295,1.19,17.9793,0.737,58.12,-3.577,18.4398
2009-05-06,17.2473,947273378.6057,30948840.9005,21.5527,19.4107,1.4159,5.0,100.0,95.0,15.2345,18.1923,21.15,0.4104,210.3734,20.6137,19.8267,38.8714,18.224,20.9584,209.5058,-0.0316,0.9042,-0.9637,-0.4925,17.8193,1.0,16.1001,1.0264,1.2161,0.1897,1.3426,1.4159,0.0734,21.7516,29.4656,74.5055,17.825,17.71,12.7432,4.0731,6.87,7.5066,538381800.0,28.9499,9.2533,8.0986,47.6422,1.4764,60.3068,15.7364,18.1923,95.1571,71.1195,94.5455,95.1571,100.0,96.0373,17.7032,20.3095,1.73,18.1532,0.7664,64.0881,-2.7704,18.7675
2009-05-07,15.8458,910716941.441,22269997.7079,22.1752,19.7892,1.2497,0.0,100.0,100.0,16.0202,18.4523,20.8843,-0.8736,157.0326,11.032,19.9165,34.0025,18.3512,21.7625,202.1133,0.2515,0.4613,-0.9213,-0.3764,17.9672,1.0,16.2259,1.0555,1.1719,0.1164,1.3317,1.2497,-0.082,21.7297,29.4269,70.931,18.615,18.585,13.1296,4.3295,5.2,8.4292,493162700.0,26.6585,8.7907,7.0709,36.2117,1.3621,55.516,15.9093,18.4523,76.9192,80.4653,44.7307,76.9192,29.3265,72.4795,17.9203,20.3193,2.61,18.3086,0.7894,56.5615,-35.3823,18.8978
2009-05-08,16.6397,953572340.1831,30330825.3009,22.604,20.136,1.274,35.0,95.0,60.0,16.0339,18.5973,21.1606,0.0377,119.544,15.0558,20.1645,30.7505,18.5597,22.3641,190.4499,0.0327,2.1042,-0.8236,-0.1814,18.1567,1.0,16.313,1.0848,1.2021,0.1173,1.3052,1.274,-0.0312,21.7178,29.3884,64.0577,18.615,18.585,13.4371,4.423,2.9,8.0127,538894300.0,25.3708,8.3511,7.1211,16.4399,1.1644,57.5279,16.1498,18.5973,66.4254,79.5006,60.0,66.4254,41.9946,57.1071,18.1393,20.5646,1.59,18.4419,0.8116,60.8439,-20.6897,19.0966
2009-05-11,14.9871,912344798.0779,17753234.5281,22.7377,20.2442,1.1725,30.0,90.0,60.0,16.072,18.6218,21.1715,-0.8571,28.2456,4.6817,20.0008,25.2791,18.554,22.539,191.3525,1.3943,3.1437,-0.8325,-0.1968,18.2731,1.0,16.3259,1.0777,1.0493,-0.0284,1.2852,1.1725,-0.1126,21.6856,29.3498,58.7948,18.615,18.585,14.1925,4.7319,0.49,9.0109,495719000.0,23.7956,7.9336,6.513,2.7207,1.0272,52.3408,16.3806,18.6218,35.2001,59.5149,0.8696,35.2001,0.0,23.7737,18.3519,20.2199,2.07,18.5663,0.8205,54.3259,-51.2744,19.0874
2009-05-12,14.4929,1025134156.2174,46881449.1174,22.2413,19.9741,1.0087,25.0,85.0,60.0,16.2946,18.6888,21.0829,-0.1279,-75.0894,1.7928,19.7425,12.8095,18.4908,22.7955,187.5232,2.178,1.0587,-0.7936,-0.1309,18.3989,1.0,16.3413,1.036,0.869,-0.1669,1.2517,1.0087,-0.243,21.6477,29.3113,51.1673,18.615,18.585,17.6344,5.8253,1.34,9.2324,344158300.0,22.8159,7.5369,5.58,8.0967,1.081,50.8964,16.6021,18.6888,25.52,42.3818,15.6904,25.52,0.0,13.9982,18.55,19.7644,1.36,18.6914,0.8153,56.2521,-60.4198,19.0177
2009-05-13,14.0959,1025134156.2174,54535586.9842,21.73,19.7708,0.8639,20.0,80.0,60.0,16.2283,18.6643,21.1002,-0.3857,-98.1739,-0.5284,19.4255,12.0153,18.3869,23.7368,196.7055,2.2725,-1.488,-0.8805,-0.2875,18.4553,1.0,16.3477,0.9645,0.6788,-0.2858,1.2005,0.8639,-0.3366,21.6052,29.2728,46.1416,18.615,18.585,17.454,5.624,-0.49,9.2591,278408900.0,22.2211,7.16,4.7574,-2.739,0.9726,49.7358,16.8149,18.6643,7.9156,22.8786,7.1869,7.9156,0.0,-0.0,18.7264,19.2523,0.84,18.7936,0.7967,50.138,-67.7661,18.8949
2009-05-14,14.4524,1055128262.3712,62252623.7983,21.305,19.6728,0.7457,15.0,75.0,60.0,16.2045,18.6533,21.102,0.8769,-74.2469,1.5927,19.2273,13.2299,18.3348,23.9461,202.835,1.2574,-4.4393,-0.9261,-0.3881,18.476,1.0,16.355,0.883,0.5571,-0.326,1.1438,0.7457,-0.398,21.5675,29.2343,46.6857,18.615,18.585,17.0911,5.3428,-0.22,8.7614,318197000.0,22.3029,6.972,4.077,-1.2182,0.9878,50.7963,17.0191,18.6533,15.0645,16.1667,22.3164,15.0645,13.6102,4.5367,18.8784,18.9386,0.65,18.8842,0.7706,49.2555,-61.1694,18.8164
2009-05-15,14.3147,1043577662.3712,56075073.0587,20.9562,19.3165,0.5251,10.0,70.0,60.0,16.1207,18.6068,21.0928,-0.1333,-65.5571,0.7283,19.0217,14.3283,18.2715,23.5555,214.332,-0.1391,-4.4669,-0.9827,-0.564,18.4788,1.0,16.3656,0.7948,0.4418,-0.353,1.0572,0.5251,-0.5321,21.5286,29.1957,46.1587,18.615,18.585,16.7526,5.0757,-0.93,8.5732,283545200.0,22.3563,6.7734,2.8509,-5.0,0.95,50.3642,17.05,18.6068,17.3496,13.4432,22.5455,17.3496,24.1206,12.5769,19.0045,18.6317,0.6,18.9707,0.7381,44.9124,-63.7181,18.7228
2009-05-18,15.6757,1086087628.5367,61976057.6217,21.0896,19.4199,0.5535,5.0,65.0,60.0,16.5973,18.7773,20.9572,0.8647,23.7082,8.7998,19.1459,23.6238,18.3742,22.9049,227.548,-1.2049,-4.4078,-0.999,-0.7378,18.5303,0.0,16.4424,0.7319,0.4805,-0.2514,0.9788,0.5535,-0.4253,21.5068,29.1573,50.9238,19.345,18.585,15.7821,4.8219,3.41,7.8948,332708900.0,25.5452,7.8048,2.9944,21.3927,1.2139,54.3999,17.2448,18.7773,47.032,26.4821,96.2343,47.032,100.0,45.9103,19.1105,18.8125,1.77,19.0541,0.7102,58.0533,-38.5307,18.7936
2009-05-19,15.2787,1056205358.0103,49247914.5371,21.3275,19.5962,0.5958,0.0,60.0,60.0,16.588,18.7568,20.9255,-0.7474,36.0794,6.15,19.1606,25.8491,18.4205,22.406,246.6103,-2.8748,-2.2233,-0.9297,-0.9178,18.5872,0.0,16.4571,0.6788,0.4662,-0.2126,0.8877,0.5958,-0.2919,21.4803,29.1189,49.4799,19.345,19.485,15.2819,4.5808,-0.41,7.9468,302184000.0,25.9366,7.7745,3.2176,-2.1277,0.9787,53.075,17.4318,18.7568,61.5326,41.9714,65.8182,61.5326,71.5937,65.2381,19.1992,18.8303,0.95,19.086,0.683,48.5302,-62.8337,18.8015
2009-05-20,14.9709,1032311006.4478,31961115.5474,21.2476,19.6107,0.367,75.0,55.0,-20.0,16.6847,18.7983,20.9118,-0.5547,-1.3129,4.0808,19.1009,19.7288,18.4261,22.1085,259.8403,-2.6666,1.6083,-0.8207,-0.9843,18.6724,0.0,16.4747,0.6269,0.4194,-0.2075,0.7896,0.367,-0.4226,21.4503,29.0806,44.2742,19.345,19.485,16.6409,4.9517,0.83,8.051,264885500.0,24.8209,7.3858,1.974,4.7025,1.047,52.0404,17.6113,18.7983,69.9595,59.5081,47.8261,69.9595,41.5342,71.0426,19.2714,18.7429,1.28,19.0847,0.6545,52.3034,-70.6366,18.7751
