date,Share Price
25/08/1997,45.296551
26/08/1997,45.464706
27/08/1997,46.173721
28/08/1997,44.984623
29/08/1997,43.302593
01/09/1997,43.879391
02/09/1997,44.359901
03/09/1997,44.371883
04/09/1997,43.879391
05/09/1997,44.44376
08/09/1997,44.419804
09/09/1997,45.284569
10/09/1997,44.623905
11/09/1997,44.492126
12/09/1997,43.783108
15/09/1997,43.891365
16/09/1997,43.650883
17/09/1997,44.239658
18/09/1997,43.002644
19/09/1997,42.461926
22/09/1997,41.332813
23/09/1997,41.080578
24/09/1997,41.549023
25/09/1997,41.801258
26/09/1997,41.609058
29/09/1997,41.981449
30/09/1997,41.500969
01/10/1997,41.152634
02/10/1997,null
03/10/1997,null
06/10/1997,null
07/10/1997,null
08/10/1997,null
09/10/1997,41.500969
10/10/1997,42.461926
13/10/1997,42.065517
14/10/1997,42.353794
15/10/1997,44.540043
16/10/1997,44.888344
17/10/1997,44.720173
20/10/1997,44.203716
21/10/1997,42.762215
22/10/1997,42.353794
23/10/1997,41.537003
24/10/1997,40.672161
27/10/1997,40.600105
28/10/1997,36.64817
29/10/1997,39.374889
30/10/1997,38.630154
31/10/1997,null
03/11/1997,38.546066
04/11/1997,38.461987
05/11/1997,38.954449
06/11/1997,39.014519
07/11/1997,39.038525
10/11/1997,38.714226
11/11/1997,38.690186
12/11/1997,37.98151
13/11/1997,37.056599
14/11/1997,null
17/11/1997,37.032547
18/11/1997,36.564091
19/11/1997,35.735287
20/11/1997,35.531094
21/11/1997,33.116695
24/11/1997,30.798412
25/11/1997,31.615204
26/11/1997,31.69928
27/11/1997,32.444019
28/11/1997,31.242851
01/12/1997,31.230825
02/12/1997,30.954542
03/12/1997,30.882488
04/12/1997,30.341934
05/12/1997,29.7654
08/12/1997,29.477089
09/12/1997,28.840481
10/12/1997,28.372032
11/12/1997,29.080702
12/12/1997,29.417059
15/12/1997,30.534143
16/12/1997,30.90654
17/12/1997,30.882488
18/12/1997,30.594223
19/12/1997,30.858484
22/12/1997,31.254833
23/12/1997,31.711298
24/12/1997,31.254833
25/12/1997,null
26/12/1997,31.771372
29/12/1997,32.768356
30/12/1997,32.2999
31/12/1997,32.600189
01/01/1998,32.576145
02/01/1998,33.897461
05/01/1998,34.077644
06/01/1998,33.549126
07/01/1998,33.621181
08/01/1998,32.468067
09/01/1998,31.398987
12/01/1998,29.825432
13/01/1998,29.957573
14/01/1998,29.80143
15/01/1998,29.969589
16/01/1998,30.45006
19/01/1998,31.086676
20/01/1998,30.942564
21/01/1998,31.435005
22/01/1998,30.389996
23/01/1998,30.137754
26/01/1998,null
27/01/1998,29.54915
28/01/1998,29.38098
29/01/1998,29.537167
30/01/1998,30.329952
02/02/1998,30.45006
03/02/1998,30.125721
04/02/1998,29.885513
05/02/1998,29.993599
06/02/1998,29.885513
09/02/1998,29.513109
10/02/1998,29.128752
11/02/1998,28.900517
12/02/1998,28.948559
13/02/1998,29.393007
16/02/1998,null
17/02/1998,29.441067
18/02/1998,29.248861
19/02/1998,29.344967
20/02/1998,29.032646
23/02/1998,29.356989
24/02/1998,29.320965
25/02/1998,30.173773
26/02/1998,30.341934
27/02/1998,31.807407
02/03/1998,33.212795
03/03/1998,31.591192
04/03/1998,32.720306
05/03/1998,32.37196
06/03/1998,32.31189
09/03/1998,32.876434
10/03/1998,33.308868
11/03/1998,32.708286
12/03/1998,32.612175
13/03/1998,null
16/03/1998,33.368935
17/03/1998,34.413971
18/03/1998,35.314884
19/03/1998,35.170731
20/03/1998,35.939468
23/03/1998,36.516045
24/03/1998,36.431969
25/03/1998,37.080601
