date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2003-11-12,18.2008,57649892.4588,202875.3392,18.1453,18.8571,0.1169,30.0,-25.0,23.5675,0.6462,-79.131,8.8776,23.8239,8.378,23.336,18.7037,164.3552,-0.0095,-0.4902,23.5801,0.0,22.6886,-0.1211,-0.4166,20.0425,62.8925,23.66,23.9,22.6871,2.9039,-0.96,2.7304,-15910450.0,26.8361,3.435,0.4979,-3.9344,0.9607,54.4388,25.0578,23.5675,26.7587,38.5135,36.5418,23.5164,23.7051,0.65,23.5569,0.2879,54.7866,-67.9687,23.5488
2003-11-13,18.0921,57774292.4588,234821.0176,17.6569,18.6844,0.0062,25.0,-25.0,23.509,-0.3333,-75.0452,6.6942,23.7709,8.378,23.3326,18.4444,230.5263,0.2073,-0.9954,23.5335,0.0,22.7069,-0.1284,-0.4026,20.075,56.1493,23.43,23.495,22.07,2.7587,-1.17,2.6824,-16283650.0,26.1061,3.2633,0.0264,-4.7814,0.9522,53.3471,24.9921,23.509,24.3744,29.0541,30.6273,23.5855,23.6186,0.34,23.5591,0.2795,53.8238,-61.1429,23.5233
2003-11-14,17.9756,57682635.937,197378.9002,16.9661,18.4069,-0.0601,20.0,-20.0,23.499000000000002,0.4348,-89.81,4.3345,23.695999999999998,3.8402,23.3152,18.2253,258.3594,0.1703,-0.8352,23.4998,0.0,22.7102,-0.1395,-0.3626,20.1058,57.8107,23.43,23.485,22.8477,2.8708,-0.2,2.7138,-16986350.0,24.6725,3.1001,-0.2545,-0.8565,0.9914,52.1672,24.9285,23.499000000000002,33.0488,31.5789,15.575999999999999,23.6437,23.5062,0.69,23.5636,0.2693,49.7813,-69.3642,23.4891
2003-11-17,17.5485,57407697.4755,76637.7144,16.2678,18.1054,-0.1382,100.0,-30.0,23.4325,-0.7692,-189.84900000000002,-3.8713,23.53,3.0,23.2471,18.0389,280.0211,-0.0699,-0.5733,23.4778,1.0,22.7053,-0.1777,-0.3418,20.1307,52.7762,23.305,23.4,24.7474,3.1273,-1.33,2.7957,-17496950.0,23.3058,2.9451,-0.5861,-5.5579,0.9444,48.0644,24.8453,23.4325,24.211,12.0,0.0,23.6887,23.2697,0.7,23.5563,0.2557,42.5434,-92.1053,23.4035
2003-11-18,17.1525,56913988.5203,-136812.685,15.8967,17.8044,-0.2014,100.0,-35.0,23.362,-0.8358,-232.1314,-10.7247,23.2931,8.8464,23.1369,17.9317,298.1666,-0.4499,-0.2896,23.4448,1.0,22.6764,-0.2279,-0.3194,20.1503,54.4405,23.05,23.215,26.3584,3.3409,-1.41,2.8689,-18005850.0,22.0739,2.7978,-0.8564,-6.0,0.94,44.6376,24.7256,23.362,14.7546,0.6849,0.0,23.7177,22.9431,0.67,23.5384,0.2377,39.8297,-99.5595,23.2756
2003-11-19,17.1215,57122188.5203,-145450.3316,15.753,17.5736,-0.2374,100.0,-40.0,23.322,-0.2857,-244.7431,-11.2471,23.0811,13.0224,23.0334,17.9766,311.5068,-0.5009,-0.0609,23.3906,1.0,22.66,-0.2525,-0.2794,20.1693,55.4519,23.03,23.075,27.8736,3.4539,-0.8,2.8098,-18491650.0,21.4504,2.658,-1.0138,-3.5011,0.965,44.3764,24.5668,23.322,9.0176,14.3678,0.0,23.7296,22.6662,0.35,23.5056,0.2167,40.7118,-90.1961,23.1507
2003-11-20,17.0593,57023062.9389,-167301.1146,15.5397,17.3641,-0.27399999999999997,100.0,-45.0,23.2655,-0.0233,-201.9231,-12.3272,22.8836,11.4863,22.9321,18.1473,-38.229,-0.2809,0.1179,23.320999999999998,1.0,22.6306,-0.2616,-0.2457,20.1873,52.5096,22.99,23.075,26.8913,3.2812,-1.13,2.7769,-18965250.0,21.3501,2.6051,-1.1745,-4.8918,0.9511,43.8364,24.3731,23.2655,8.2743,9.7701,0.0,23.7238,22.4212,0.43,23.4471,0.1935,44.4741,-93.3333,23.0219
2003-11-21,17.0826,56828944.1889,-222795.9358,15.3171,17.1604,-0.3165,95.0,-45.0,23.1895,-0.4687,-153.9362,-11.7902,22.7192,11.089,22.8433,18.235,-29.5539,-0.35600000000000004,0.2663,23.2381,1.0,22.5837,-0.2531,-0.2171,20.2055,50.4595,22.99,23.075,26.1688,3.1171,-1.52,2.7072,-18620150.0,20.9444,2.4948,-1.3622,-6.4626,0.9354,44.1049,24.193,23.1895,13.1742,15.3846,6.3506,23.701,22.2323,0.32,23.3641,0.1692,37.3161,-92.1569,22.9014
2003-11-24,17.3699,57123096.7312,-131650.196,14.8192,16.8559,-0.4154,90.0,-45.0,23.1365,0.2881,-104.0314,-5.2574,22.6451,5.358,22.7983,18.3311,-19.9407,-0.5545,0.4236,23.1604,1.0,22.5751,-0.2116,-0.2466,20.2271,50.8607,22.99,23.075,24.872,2.9613,-1.06,2.6611,-17925950.0,22.3423,2.6601,-1.7911,-4.5241,0.9548,47.3713,24.0255,23.1365,28.3849,60.0,100.0,23.6641,22.1784,0.59,23.2675,0.146,40.113,-77.6471,22.8233
2003-11-25,17.564,57229228.3102,-48625.96400000001,14.0816,16.4345,-0.4617,85.0,-45.0,23.085,0.6316,-61.1701,-1.0572,22.6274,0.0687,22.7813,18.8579,-13.0616,-0.9582,0.529,23.1048,1.0,22.5768,-0.1588,-0.2286,20.250999999999998,49.2007,22.99,23.075,23.6787,2.8132,-1.03,2.6261,-17522650.0,23.7113,2.8171,-1.995,-4.3552,0.9564,49.4714,23.8697,23.085,51.6654,79.6117,100.0,23.6166,22.2044,0.57,23.1658,0.1251,41.6507,-67.8431,22.7741
