date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2016-10-21 00:00:00,36.0702,674357530.4795,3414218.9294,14.3069,15.0663,0.3526,60.0,10.0,50.0,39.5305,38.196,36.8615,0.4318,65.1222,11.2181,38.5293,14.5746,38.3045,16.335,303.7296,-0.018,-0.9502,-0.1954,-0.8317,38.2918,0.0,37.8205,0.1435,0.1753,0.0318,0.2664,0.3526,0.0862,36.6747,36.5105,57.229,38.11,38.11,18.1033,2.3187,0.93,1.6505,234869934.0,24.2806,3.1099,0.9242,2.4558,1.0246,55.6091,39.3404,38.196,84.301,64.2077,78.2123,84.301,87.9928,95.9976,38.2887,38.5525,0.47,38.3716,0.056,54.0382,-23.6641,38.3873
2016-10-24 00:00:00,36.1818,670636498.0721,2463681.3301,14.5177,14.8916,0.3078,55.0,5.0,50.0,39.5468,38.2905,37.0342,-0.4074,85.8729,12.8235,38.6195,18.5243,38.3631,16.1574,-15.6417,0.7131,-0.7885,0.4903,-0.2696,38.3906,0.0,37.8788,0.1554,0.2031,0.0477,0.294,0.3078,0.0138,36.6972,36.5114,61.84,38.235,38.11,17.5551,2.2028,1.89,1.612,238888649.0,25.5377,3.2044,0.8057,5.104,1.051,56.4118,39.321,38.2905,83.282,78.6739,84.4828,83.282,92.8339,93.6089,38.3091,38.6691,0.38,38.411,0.0575,55.2498,-19.084,38.4563
2016-10-25 00:00:00,36.1446,669728513.0721,1561949.6912,14.5282,14.5259,0.2762,50.0,0.0,50.0,39.5758,38.3645,37.1532,0.1053,69.0376,12.1122,38.6889,14.7274,38.4124,15.9398,38.0942,1.4505,-0.4353,0.9927,0.617,38.4808,0.0,37.9191,0.1682,0.2193,0.0511,0.3061,0.2762,-0.03,36.719,36.5125,62.2023,38.235,38.275,18.3948,2.2626,1.48,1.5818,235438306.0,24.7487,3.0442,0.7224,3.9572,1.0396,56.0561,39.3018,38.3645,81.0249,82.8693,80.3797,81.0249,33.6591,71.4953,38.3331,38.7519,0.38,38.4319,0.0593,55.9668,-23.5808,38.5124
2016-10-26 00:00:00,36.3119,671385823.0721,1578389.958,14.613,14.38,0.2226,45.0,5.0,40.0,39.6358,38.435,37.2342,0.6,72.9092,14.6608,38.78,16.223,38.4741,15.6413,76.3867,1.5618,0.4189,0.8537,0.9719,38.5526,0.0,37.9628,0.1833,0.2439,0.0605,0.308,0.2226,-0.0854,36.7424,36.5136,62.6049,38.235,38.275,17.64,2.1495,1.41,1.5598,239581581.0,24.4718,2.982,0.5817,3.745,1.0375,57.3304,39.2828,38.435,81.3431,81.8833,79.1667,81.3431,100.0,75.4977,38.3613,38.8637,0.5,38.4437,0.0617,61.1223,-15.7205,38.5787
2016-10-27 00:00:00,36.5629,669944430.207,983000.5229,15.0221,14.4058,0.2302,100.0,0.0,100.0,39.6747,38.5375,37.4003,0.0899,114.255,18.3972,38.9061,22.7955,38.5556,15.3388,112.1421,0.5198,0.9078,0.3884,0.9263,38.5944,0.0,38.0541,0.203,0.2819,0.0788,0.3071,0.2302,-0.0769,36.7683,36.5149,66.5275,38.38,38.4825,16.8191,2.042,2.05,1.5435,244005166.0,26.7511,3.2479,0.6008,5.4989,1.055,59.1986,37.4,38.5375,77.8517,80.0732,74.0088,77.8517,100.0,77.8864,38.3947,39.0223,0.565,38.4592,0.065,57.9824,-12.9103,38.6639
2016-10-28 00:00:00,36.3956,669750257.6514,588286.257,15.0758,14.2628,0.228,95.0,0.0,95.0,39.7109,38.609,37.5071,-0.4444,80.3715,14.8679,38.9806,16.0959,38.6122,15.0964,134.9396,-0.2611,0.7805,0.0011,0.7079,38.6219,0.0,38.1003,0.2212,0.2941,0.0728,0.3012,0.228,-0.0732,36.7921,36.5163,61.9867,38.38,38.5125,18.4687,2.2299,1.43,1.542,238762507.0,25.5547,3.0855,0.5945,3.7911,1.0379,57.434,37.4222,38.609,67.0876,75.4275,48.0874,67.0876,43.846,81.282,38.433,39.1018,0.54,38.4807,0.0685,51.7134,-21.3483,38.7222
2016-10-31 00:00:00,36.4421,666469007.7989,-670702.3737,15.1801,14.4075,0.2877,90.0,50.0,40.0,39.7177,38.6885,37.6593,-0.3607,97.66,15.6035,39.0521,17.1622,38.6682,14.8391,157.7787,-0.4893,0.5317,-0.3872,0.3782,38.6341,0.0,38.1549,0.2379,0.3043,0.0664,0.2969,0.2877,-0.0092,36.8162,36.5178,64.6098,38.38,38.5125,17.9295,2.1184,1.59,1.5071,242274020.0,25.3587,2.9962,0.7492,4.2276,1.0423,57.8018,37.4443,38.6885,58.5494,67.8296,53.5519,58.5494,55.5501,66.4654,38.4758,39.1759,0.345,38.5168,0.0721,48.0385,-19.1011,38.7785
2016-11-01 00:00:00,36.284,666112919.2656,-1238071.131,14.7227,14.5279,0.3058,85.0,45.0,40.0,39.7475,38.726,37.7045,-0.36,55.9214,12.1358,39.0812,6.0328,38.7026,14.51,180.0161,-0.4419,0.2833,-0.7073,-0.0003,38.6462,0.0,38.1735,0.2493,0.2952,0.0459,0.2881,0.3058,0.0176,36.8383,36.5194,57.8716,38.38,38.5125,21.0655,2.5225,0.75,1.534,236932692.0,23.7704,2.8464,0.7946,1.9592,1.0196,56.0679,37.4661,38.726,46.2255,57.2875,37.037,46.2255,0.0,33.132,38.5217,39.1883,0.75,38.5649,0.0752,46.8991,-26.7416,38.811
2016-11-02 00:00:00,35.9029,664951919.4739,-1727033.6354,14.0405,14.5259,0.358,80.0,40.0,40.0,39.7361,38.715,37.6939,-0.4167,-11.1704,4.2005,39.0302,1.0784,38.6948,14.1839,214.6351,-0.0999,0.1697,-0.9837,-0.5683,38.6736,0.0,38.177,0.2499,0.2521,0.0022,0.2854,0.358,0.0726,36.8562,36.5211,51.9048,38.38,38.5125,22.0977,2.6464,-0.22,1.5505,231359893.0,22.5794,2.7041,0.9293,-0.5664,0.9943,52.1003,37.4877,38.715,35.4962,46.757,15.8996,35.4962,0.0,18.5167,38.5681,39.088,0.6,38.6152,0.0768,47.0791,-45.1685,38.801
2016-11-03 00:00:00,35.8006,660804522.8684,-3089686.8857,13.4549,14.4805,0.3766,75.0,35.0,40.0,39.7109,38.6925,37.6741,-0.3853,-11.8555,2.1589,38.9647,2.3274,38.6772,13.9484,233.9135,-0.0314,0.2909,-0.9879,-0.8081,38.7101,0.0,38.1814,0.2412,0.2066,-0.0346,0.2881,0.3766,0.0885,36.8727,36.5228,47.2778,38.38,38.5125,21.0875,2.5141,-0.45,1.5479,225488903.0,22.0925,2.6339,0.9767,-1.155,0.9884,51.0794,37.509,38.6925,20.1495,33.957,7.5117,20.1495,0.0,0.0,38.6127,38.9737,0.545,38.662,0.077,45.2078,-50.1124,38.7814
