date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2001-09-19,14.6249,78463584.7687,230770.9854,15.5237,17.2967,0.1419,100.0,40.0,-60.0,28.0632,25.5908,26.827,-0.424,-201.2001,-26.7068,26.6005,42.9806,26.6731,18.3182,266.7791,-0.0992,0.1263,-0.7457,-0.9984,26.9155,1.0,26.8094,-0.2109,-0.1087,0.1022,-0.2099,0.1419,0.3519,24.8867,20.9322,40.4764,26.36,26.15,30.7094,4.2671,-1.16,2.7548,26899500.0,12.2466,1.7017,0.5302,-4.3973,0.956,36.6466,27.7745,26.827,20.7641,23.6868,20.7641,22.5,0.0,0.0,26.7869,26.4207,1.29,27.096,0.0424,47.0617,-78.1818,26.7946
2001-09-20,14.3871,78412598.102,235973.7149,17.0169,18.1159,-0.0131,100.0,35.0,-65.0,28.2571,25.2329,26.745,-0.5333,-200.7057,-31.8222,26.2694,45.3884,26.4957,18.2113,287.3802,-0.7276,0.0204,-0.4636,-0.9543,26.8584,1.0,26.6652,-0.275,-0.2415,0.0334,-0.3221,-0.0131,0.309,24.8859,20.952,40.1418,26.155,26.025,29.8864,4.3038,-1.64,2.9021,26134700.0,11.2261,1.6166,-0.0492,-6.2004,0.938,34.0889,27.709,26.745,20.5905,20.4509,20.5905,17.2308,0.0,0.0,26.804,25.9677,1.2,27.0693,0.0298,45.9386,-84.2254,26.6025
2001-09-21,14.0914,78880372.0151,365487.1024,18.7262,19.0395,-0.1863,100.0,30.0,-70.0,28.4884,24.7946,26.6415,-0.2174,-219.5471,-37.531,25.8927,51.2015,26.2866,18.2761,303.9151,-1.2816,-0.3494,-0.1923,-0.8299,26.7737,1.0,26.4509,-0.3336,-0.3835,-0.0499,-0.4328,-0.1863,0.2465,24.8801,20.9716,36.0085,25.9,25.69,31.9145,4.7586,-2.07,3.068,25307100.0,10.3,1.5358,-0.7001,-7.8498,0.9215,31.2345,27.6052,26.6415,21.1383,20.831,21.1383,23.6842,0.0,0.0,26.7987,25.468,1.23,27.0088,0.0122,45.8905,-82.9384,26.3696
2001-09-24,13.9,78663092.0151,316109.2062,20.2256,19.6948,-0.3678,95.0,25.0,-70.0,28.7047,24.3383,26.5215,-0.7,-180.3721,-40.9015,25.51,48.7145,26.066,18.927,310.5883,-1.4326,-0.8919,-0.0769,-0.7594,26.6591,1.0,26.1927,-0.3734,-0.5167,-0.1433,-0.5303,-0.3678,0.1626,24.871,20.9911,36.1496,25.735,25.69,30.0079,4.5206,-2.4,3.1424,24763900.0,10.3485,1.559,-1.3869,-9.1013,0.909,29.5493,27.4442,26.5215,18.6002,20.1097,18.6002,14.8855,0.0,0.0,26.7686,24.9791,0.9,26.9126,-0.0099,45.7998,-90.7583,26.1152
2001-09-25,13.9,78663092.0151,267171.9572,21.65,20.3302,-0.5224,90.0,20.0,-70.0,28.8536,23.9524,26.403,0.0,-153.4928,-40.9015,25.1827,48.7145,25.8663,20.0313,-43.893,-1.1736,-1.3415,0.0193,-0.6933,26.5338,1.0,25.9641,-0.3775,-0.6152,-0.2377,-0.5824,-0.5224,0.0601,24.862,21.0105,33.6668,25.735,25.69,30.0079,4.2946,-2.37,2.9853,24763900.0,10.3485,1.481,-1.9778,-8.9977,0.91,29.5493,27.2897,26.403,18.8474,19.5286,18.8474,17.9724,0.0,0.0,26.7132,24.5869,0.0,26.7778,-0.0347,46.9956,-90.7583,25.8722
2001-09-26,13.8072,78590872.0151,199884.7229,23.3007,21.0159,-0.6909,100.0,15.0,-85.0,28.9603,23.5687,26.2645,-0.5852,-131.616,-42.5663,24.8748,54.6636,25.6705,21.5062,-44.0266,-0.7112,-1.5914,0.017,-0.695,26.4074,1.0,25.6719,-0.3683,-0.6981,-0.3298,-0.6276,-0.6909,-0.0633,24.8514,21.0297,31.5156,25.655,25.525,32.1147,4.7999,-2.77,3.1386,24340000.0,9.4138,1.407,-2.6271,-10.4214,0.8958,28.7169,27.1413,26.2645,19.4375,18.9617,19.4375,25.4545,0.0,0.0,26.6332,24.2343,1.35,26.5997,-0.0614,46.9041,-87.6923,25.6252
2001-09-27,13.8768,78763668.3114,209167.4283,24.8688,21.3976,-0.8867,95.0,10.0,-85.0,28.9924,23.2546,26.1235,0.3951,-115.2376,-39.4647,24.6348,54.6636,25.5047,23.2633,-39.3551,-0.2659,-1.6779,0.0984,-0.6341,26.2904,1.0,25.4247,-0.3326,-0.7455,-0.4129,-0.6786,-0.8867,-0.2081,24.8422,21.0487,29.0952,25.655,25.525,30.3816,4.5599,-2.82,3.136,24739900.0,8.9057,1.3366,-3.3836,-10.5421,0.8946,30.2677,26.9467,26.1235,31.2658,23.1835,31.2658,50.3704,20.5322,61.5967,26.5308,23.9882,0.81,26.3826,-0.0883,48.9641,-85.0549,25.4029
2001-09-28,14.3523,79070619.7399,291616.0416,25.5325,21.4842,-1.0504,90.0,5.0,-85.0,28.8752,23.1198,25.9975,0.8143,-69.0502,-20.5935,24.5807,38.141,25.4329,24.4593,-33.9027,0.1167,-1.7103,0.1925,-0.5578,26.1989,1.0,25.3518,-0.2367,-0.7087,-0.4721,-0.6833,-1.0504,-0.3671,24.8413,21.0677,28.5222,25.655,25.525,28.5777,4.3319,-2.52,3.0623,25137800.0,12.797,1.9398,-4.0186,-9.2409,0.9076,39.7032,26.7619,25.9975,56.9205,35.8746,56.9205,94.9367,53.8656,100.0,26.4122,24.0118,0.9,26.1409,-0.1121,53.1671,-67.033,25.2721
2001-10-01,14.4451,79254448.0981,357325.3117,25.9494,21.4597,-1.1935,85.0,0.0,-85.0,28.698,23.039,25.8685,0.3134,-53.7598,-17.3327,24.5671,33.8719,25.3831,25.0023,-27.8985,0.8435,-1.6759,0.2941,-0.4679,26.1292,1.0,25.3013,-0.1496,-0.6591,-0.5095,-0.6636,-1.1935,-0.5299,24.842,21.0866,27.7881,25.655,25.475,27.3072,4.1153,-2.58,3.025,25411500.0,13.4888,2.0328,-4.5755,-9.3852,0.9061,41.3337,26.5863,25.8685,79.6975,55.9613,79.6975,93.7853,87.1989,100.0,26.283,24.085,0.67,25.8897,-0.1323,56.5933,-62.6966,25.1685
2001-10-02,14.9322,79777060.343,518007.9718,25.557,21.0254,-1.2663,80.0,35.0,-45.0,28.5269,23.0451,25.786,0.7653,-15.6705,-2.0787,24.7113,18.1002,25.418,25.0408,-16.419,1.6995,-1.3417,0.4784,-0.2827,26.083,1.0,25.3228,-0.029,-0.5457,-0.5167,-0.5799,-1.2663,-0.6864,24.8511,21.1054,28.4553,25.655,25.475,25.5577,3.9095,-1.65,2.9703,25993500.0,17.7237,2.7112,-4.8592,-6.0219,0.9398,48.9606,26.4195,25.786,95.5871,77.4017,95.5871,98.0392,100.0,100.0,26.1513,24.3741,0.98,25.6489,-0.1466,61.1146,-43.8202,25.1572
