date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2004-03-01,1155.97,61104969306.0384,261402421.4759,25.7772,32.2162,4.4265,20.0,35.0,1127.3719,0.8817,95.9633,21.3196,1151.2204,19.7324,1143.5147,17.6334,268.5517,-8.6943,-0.9997,1143.9672,0.0,1139.3604,6.3104,4.4265,1051.7438,54.8095,1142.14,1141.71,15.6663,32.202,24.84,0.8891,-16097060000.0,23.3689,48.0346,0.3873,2.196,1.022,60.6598,1129.3689,1143.987,74.2127,93.5709,100.0,1152.3569,1147.4742,12.51,1146.1821,0.1073,55.6388,-8.7146,1146.2106
2004-03-02,1149.1,60201433708.3448,97795530.9546,25.4749,31.6415,3.8852,15.0,35.0,1128.4265,-0.7443,69.1879,13.9987,1151.4998,19.7324,1144.0467,17.3902,311.3364,-8.5046,-0.7508,1145.4432,0.0,1139.548,6.0877,3.8852,1052.7174,49.5964,1142.14,1141.71,14.9592,30.5919,13.84,0.8898,-17573060000.0,22.3142,45.6328,0.3399,1.2191,1.0122,56.9994,1129.9612,1144.679,70.0512,55.6559,23.2632,1152.5855,1147.8817,9.23,1146.65,0.1036,52.0801,-28.6045,1146.6975
2004-03-03,1151.03,61101396368.0116,308326691.9121,24.9095,30.7252,4.4872,10.0,35.0,1129.4603,0.2229,43.1828,15.5065,1152.0568,14.167,1144.7117,17.1738,-3.4702,-3.6728,-0.0605,1146.5996,0.0,1139.7868,5.904,4.4872,1053.7005,49.808,1142.14,1141.71,16.0603,32.5923,15.0,0.8815,-16238560000.0,21.3619,43.3512,0.3926,1.3204,1.0132,57.7533,1130.5415,1145.429,71.7109,65.9058,32.154,1152.7952,1148.6855,8.6599,1146.9132,0.1002,54.8076,-23.0166,1147.3024
2004-03-04,1154.87,62318145290.8614,753570761.2186,24.5178,29.9173,3.8944,5.0,35.0,1132.944,0.7442,82.3552,18.499,1153.2,17.075,1145.6792,16.9677,48.8097,1.8442,0.7525,1147.6684,0.0,1140.5371,5.8021,3.8944,1054.7122,54.8037,1143.175,1141.71,15.6417,30.9627,28.35,0.857,-14972760000.0,22.0832,43.7137,0.3406,2.5166,1.0252,59.2495,1131.1103,1146.8465,68.3588,83.5146,66.9865,1153.0077,1150.3089,5.1599,1147.1038,0.0973,59.231,-11.8992,1148.2015
2004-03-05,1156.86,62484457096.2883,920127022.0963,24.5781,29.6492,3.2228,0.0,100.0,1136.4837,0.1376,113.9208,20.0438,1154.512,25.7232,1146.744,16.7577,82.1551,3.3911,0.9906,1148.5266,0.0,1141.3467,5.7754,3.2228,1055.7337,59.9655,1148.425,1145.81,14.5248,29.4146,28.27,0.8753,-13574560000.0,24.5852,49.788,0.2816,2.5049,1.025,60.0219,1131.6677,1148.26,72.2232,67.2493,82.5734,1153.2428,1152.1198,14.46,1147.2236,0.0948,58.3575,-18.2836,1149.1552
2004-03-08,1147.2,61274542459.3231,519642924.1395,24.4885,29.3577,2.7310000000000003,0.0,95.0,1136.9643,-0.7448,42.8236,9.444,1153.8549,22.7858,1146.7875,16.5316,104.1847,8.1314,0.9695,1148.7038,0.0,1141.3945,5.6299,2.7310000000000003,1056.6483,55.2557,1148.425,1148.83,14.484000000000002,29.7439,4.4399,0.895,-14828960000.0,23.0324,47.2986,0.2385,0.3885,1.0039,54.722,1132.6146,1148.482,56.1157,17.5832,0.0,1153.4746,1151.0568,12.97,1147.2588,0.092,49.202,-55.66,1149.0542
2004-03-09,1140.58,60845324082.9521,171998771.2083,23.6569,28.7639,2.0734,50.0,40.0,1137.1144,-0.6317,-102.3343,2.8903,1152.0557,7.8576,1146.1963,16.2994,138.4588,7.9022,0.6632,1148.5212,0.0,1141.3907,5.2991,2.0734,1057.4876,50.3588,1148.425,1148.83,18.6734,38.3867,0.7699,0.9012,-16328360000.0,21.8582,44.9337,0.181,0.0675,1.0007,51.4452,1133.533,1148.5205,33.0015,14.172,0.0,1153.6598,1148.4311,10.48,1147.3236,0.0884,49.8862,-78.6461,1148.3017
2004-03-10,1123.89,59433901901.6133,-434944419.1631,22.9069,28.4519,1.0857,100.0,-15.0,1131.7865,-0.8821,-229.483,-11.2185,1147.4512,8.656,1144.0719,16.0723,182.9698,3.5984,-0.0518,1147.4725,0.0,1140.8532,4.5912,1.0857,1058.1517,45.1283,1140.825,1142.88,23.7044,50.7773,-21.65,0.953,-17976760000.0,19.9276,42.687,0.0948,-1.8899,0.9811,44.3907,1163.23,1147.438,11.6989,3.3415,0.0,1153.7082,1141.9279,18.9199,1147.2152,0.0829,39.5296,-96.6585,1145.9559
2004-03-11,1106.78,57715219041.2142,-1190552596.3362,22.9159,28.5164,-0.4818,100.0,-20.0,1121.9046,-0.8517,-309.2954,-22.6625,1140.3644,23.0873,1140.5203,15.8234,246.7667,4.1593,-0.9189,1145.5547,1.0,1137.4752,3.4006,-0.4818,1058.638,39.0506,1131.885,1134.55,29.0257,64.8985,-50.98,1.0101,-19866660000.0,18.1371,40.5526,-0.0421,-4.4033,0.956,38.6687,1162.823,1144.889,6.3667,1.5865,0.0,1153.5022,1132.1686,20.09,1146.7771,0.0748,34.6649,-98.4135,1142.0837
2004-03-12,1120.5699,59091676865.6177,-953469125.0208,22.9245,28.2745,-2.178,95.0,-20.0,1118.2882,0.9957,-220.9933,-10.5709,1136.7601,23.0873,1138.6202,15.5209,279.3156,3.1848,-0.9868,1143.5797,1.0,1136.7314,2.1821,-2.178,1059.2573,38.7935,1131.885,1134.55,27.249,61.6535,-31.54,1.0096,-18478160000.0,17.0269,38.525,-0.1905,-2.7376,0.9726,44.7145,1161.6839,1143.312,10.705,27.1869,37.6609,1153.0291,1127.803,13.85,1146.2343,0.066,39.4128,-74.3725,1139.7676
