date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2011-07-26,94.4133,169032917.669,581211.0248,20.4646,21.1117,3.4151,90.0,90.0,118.6565,0.0947,114.0539,26.9011,121.8868,25.4608,119.0798,23.3405,204.0445,1.1285,-0.9339,117.0865,1.0,119.7543,1.7771,3.5089,93.5241,61.86600000000001,117.54,117.255,16.8043,6.4746,11.55,1.5708,114176000.0,28.2841,10.8978,2.9208,10.397,1.104,63.4506,117.1273,118.6565,83.3559,77.193,47.1562,116.4623,123.2643,1.69,118.8108,0.1312,68.0794,-8.0934,120.1719
2011-07-27,91.7573,167965870.05,195337.0783,19.9559,20.6171,3.2125,85.0,85.0,119.0235,-0.9762,47.2534,8.4351,121.6395,10.2909,119.0903,23.1213,206.5488,2.9781,-0.9486,117.5471,1.0,119.7186,1.8104,3.5582,93.6029,55.2393,118.385,117.885,20.9824,8.4209,7.34,1.6836,113055600.0,25.7963,10.3529,2.7413,6.5624,1.0656,54.2175,117.7826,119.0235,52.9227,1.7505,0.0,116.9236,122.6525,3.53,119.1709,0.1408,58.0878,-38.7403,120.2227
2011-07-28,91.8882,167913586.2764,3085.8923,19.191,19.8932,2.9117,80.0,80.0,119.3145,-0.0491,10.456,9.121,121.4456,4.6576,119.1159,22.8115,209.3191,3.8288,-0.9628,117.9727,1.0,119.7008,1.7929,3.5186,93.6818,50.2389,118.62,118.225,21.9731,8.9599,5.82,1.7081,113658000.0,24.1199,9.8353,2.4789,5.1259,1.0513,54.5605,123.68,119.3145,33.6081,21.8807,3.0924,117.3746,122.1635,2.65,119.4865,0.1475,52.4302,-39.5967,120.2548
2011-07-29,92.0961,168404252.9431,80278.3564,18.3024,18.992,2.7196,75.0,75.0,119.5955,0.4837,-15.1046,10.2451,121.31700000000001,1.42,119.1649,22.4404,209.0283,4.1679,-0.9614,118.4975,1.0,119.6974,1.7446,3.4289,93.7608,45.2662,119.52,118.815,22.0446,9.0819,5.62,1.7219,114394000.0,22.6796,9.3435,2.3094,4.9294,1.0493,55.1225,123.6247,119.5955,19.3487,34.415,9.8018,117.8064,121.8059,2.46,119.7669,0.152,53.3354,-41.6238,120.2848
2011-08-01,91.4571,167980655.7759,-30221.8576,17.7646,18.4831,2.4138,70.0,70.0,119.745,-0.5156,-19.3994,6.0024,121.0458,7.5468,119.1302,21.8896,212.6319,2.2563,-0.9768,118.919,1.0,119.6771,1.6624,3.2823,93.8398,47.2073,120.35,119.3165,20.2208,8.6278,2.99,1.7958,113216600.0,23.522,10.0363,2.043,2.5818,1.0258,53.0012,123.5038,119.745,26.1726,22.2222,0.0,118.2097,121.2743,3.53,120.0067,0.154,47.9713,-55.9184,120.209
2011-08-02,89.6095,166991341.995,-387460.7065,16.8926,17.9076,1.9633,65.0,65.0,119.6915,-0.5654,-117.3579,-5.1124,120.3681,0.3234,118.8701,21.1752,217.2993,0.5259,-0.991,119.2773,1.0,119.648,1.5212,3.0806,93.9188,40.8683,119.815,119.975,22.1296,9.5964,-1.07,1.8627,112127200.0,21.9869,9.5345,1.6586,-0.9109,0.9909,47.4438,123.3853,119.6915,19.578,2.0968,0.0,118.5693,120.1969,2.83,120.1918,0.1521,43.525,-98.2456,119.8905
2011-08-03,90.133,167947187.8887,-194247.387,16.7682,17.8198,1.6487,60.0,-40.0,119.64,0.1159,-170.6776,-1.925,119.9007,14.4053,118.6996,20.504,231.3961,-2.0807,-0.9938,119.4703,1.0,119.6258,1.3578,2.8405,93.9978,35.8057,119.815,118.48,26.7039,12.1066,-1.03,1.9361,113270900.0,19.9791,9.0578,1.3902,-0.8721,0.9913,49.0375,123.1719,119.64,24.0996,47.9798,20.7549,118.8789,119.4771,4.14,120.3166,0.1478,51.6699,-63.4615,119.6418
2011-08-04,85.3138,166617863.7276,-520513.4997,17.1183,17.8127,0.9117,55.0,-45.0,119.2355,-0.8188,-258.466,-24.1992,118.3569,23.77,117.9492,20.0928,257.6715,-3.7569999999999997,-0.8418,119.412,1.0,119.1029,1.0859999999999999,2.5288,94.0765,31.0935,117.025,117.245,28.3166,13.9712,-8.09,2.2261,111937100.0,17.4402,8.6049,0.7689,-6.8035,0.932,37.9004,122.7762,119.2355,16.7243,0.0962,0.0,119.1123,117.2559,6.27,120.3046,0.1371,40.0824,-99.9223,118.8018
2011-08-05,84.9211,166387313.7276,-680023.4094,17.8244,17.9926,0.1417,50.0,-50.0,118.781,-0.5684,-264.8587,-25.6473,116.9323,31.24,117.2217,19.9331,278.6073,-2.7883,-0.5933,119.155,1.0,118.4823,0.7499,2.1487,94.1547,29.4018,116.77,116.08,30.5262,15.6027,-9.09,2.3168,110251700.0,15.9935,8.1747,0.1197,-7.6131,0.9239,37.1763,122.1779,118.781,20.8209,14.3868,0.0,119.2532,115.3054,4.24,120.1385,0.1213,43.2476,-87.9605,117.9517
2011-08-08,78.5776,164319343.061,-1341447.8201,19.2607,18.7663,-1.1382,45.0,-55.0,117.965,-0.9081,-307.3525,-43.8812,114.2113,46.5497,115.7786,19.6926,294.4088,-2.2862,-0.3517,118.6241,1.0,116.4734,0.2581,1.6428,94.2323,27.6622,112.65,112.845,37.4494,21.2925,-16.32,2.7852,108146300.0,13.6587,7.7659,-0.9648,-13.7849,0.8622,28.0594,121.35600000000001,117.965,4.9447,0.3511,0.0,119.264,111.583,8.3,119.7516,0.0961,33.3355,-99.7231,116.3602
